PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,5295,CN,CTI,Hydro,New dam,CTI1663120390.82,2/3/23,1/1/13,30/4/14," 439,839 ",2,1,21Jun2023
PA,10059,BR,RINA,Hydro,Run of river,RINA1645111055.42,2/3/23,28/10/14,31/12/20," 124,324 ",2,1,21Jun2023
PA,7178,AR,TUV NORD,EE supply side,Single cycle to combined cycle,RWTUV1652942822.16,2/3/23,1/1/14,24/9/17," 1,644,505 ",2,2,21Jun2023
PA,1987,CN,CCSC,Hydro,New dam,CCSC_DOE1656656046.12,1/3/23,21/7/12,20/12/12," 115,182 ",1,4,21Jun2023
PA,7030,CN,CTI,Wind,Wind,CTI1667189715.53,1/3/23,1/1/17,31/12/17," 195,207 ",2,1,21Jun2023
PoA,6573,BR,RINA,Landfill gas,Landfill power,poaiss513935742~BR,24/2/23,3/3/20,31/12/20," 9,905 ",2,2,21Jun2023
PA,6287,UY,AENOR,Wind,Wind,AENOR1623664117.8,16/2/23,1/1/14,31/5/19," 105,069 ",2,2,21Jun2023
PA,2543,IN,LGAI,Wind,Wind,Applus1645034241.05,16/2/23,25/4/17,11/6/19," 6,952 ",2,3,21Jun2023
PA,2215,CN,CCSC,Wind,Wind,CCSC_DOE1656469354.45,16/2/23,1/7/11,31/12/12," 94,156 ",1,4,21Jun2023
PA,7354,IN,KSA,EE households,Appliances,Korean Standards Association1653873266.17,16/2/23,1/1/13,31/12/20," 558,809 ",2,1,21Jun2023
PA,3532,VN,KEarth,Hydro,New dam,4KEarth1643368434.01,15/2/23,6/5/18,31/12/20," 124,487 ",2,5,21Jun2023
PA,7844,IN,LGAI,Wind,Wind,Applus1652793275.83,15/2/23,1/1/13,31/12/20," 54,821 ",2,1,21Jun2023
PA,7844,IN,LGAI,Wind,Wind,Applus1652793275.83,15/2/23,23/10/12,31/12/12, 549 ,1,1,21Jun2023
PA,4272,IN,LGAI,Hydro,Run of river,Applus1654858518.84,15/2/23,1/2/11,31/12/12," 13,993 ",1,1,21Jun2023
PA,4272,IN,LGAI,Hydro,Run of river,Applus1654858518.84,15/2/23,1/1/13,31/12/20," 96,109 ",2,1,21Jun2023
PA,297,SV,AENOR,Geothermal,Geothermal electricity,AENOR1595937910.29,9/2/23,1/1/18,31/12/18," 141,954 ",2,12,21Jun2023
PA,10150,IN,LGAI,Solar,Solar PV,Applus1631524585.69,9/2/23,1/1/16,31/12/20," 285,251 ",2,1,21Jun2023
PA,8407,IN,LGAI,Wind,Wind,Applus1649235875.66,9/2/23,1/1/13,31/5/20," 31,405 ",2,1,21Jun2023
PA,4181,CN,CTI,Wind,Wind,CTI1631259911.53,9/2/23,25/12/16,7/2/18," 76,662 ",2,4,21Jun2023
PA,5694,CN,CTI,Wind,Wind,CTI1631260194.7,9/2/23,25/12/16,18/1/19," 133,931 ",2,3,21Jun2023
PA,4181,CN,CTI,Wind,Wind,CTI1631761790.14,9/2/23,8/2/18,24/12/20," 252,300 ",2,5,21Jun2023
PA,10330,PK,KBS,EE own generation,Cement heat,KBS_Cert1647315972.3,9/2/23,27/10/17,31/12/20," 90,005 ",2,1,21Jun2023
PA,6865,IN,LGAI,Solar,Solar PV,Applus1665135776.67,8/2/23,1/1/13,31/7/19," 51,595 ",2,1,21Jun2023
PA,6865,IN,LGAI,Solar,Solar PV,Applus1665135776.67,8/2/23,1/8/12,31/12/12," 3,437 ",1,1,21Jun2023
PA,3825,CN,CCSC,EE own generation,Cement heat,CCSC_DOE1649733681.73,8/2/23,1/1/19,20/12/20," 128,588 ",2,3,21Jun2023
PA,4197,IN,LGAI,Wind,Wind,Applus1650643101.16,7/2/23,25/2/12,31/12/12," 5,070 ",1,1,21Jun2023
PA,4197,IN,LGAI,Wind,Wind,Applus1650643101.16,7/2/23,1/1/13,31/12/20," 35,128 ",2,1,21Jun2023
PA,6870,IN,BVCH,Solar,Solar PV,BVQI1661323832.19,6/2/23,1/4/14,31/7/19," 40,781 ",2,2,21Jun2023
PA,5694,CN,CTI,Wind,Wind,CTI1631496025.47,6/2/23,19/1/19,24/12/20," 152,304 ",2,4,21Jun2023
PA,9430,IN,LGAI,Biomass Energy,Agricultural residues: rice husk,Applus1630148354.68,3/2/23,1/2/16,31/12/20," 179,403 ",2,1,21Jun2023
PA,5310,VN,KEarth,Hydro,Run of river,4KEarth1659696734.71,2/2/23,1/3/18,30/6/19," 47,089 ",2,7,21Jun2023
PA,2482,IN,LGAI,Hydro,Run of river,Applus1653906753.88,2/2/23,29/4/18,26/7/19," 32,217 ",2,4,21Jun2023
PoA,6328,IN,Carbon Check,Solar,Solar PV,poaiss531316334~IN,1/2/23,15/7/12,31/12/20," 292,366 ",2,1,21Jun2023
PA,10236,CO,ICONTEC,Hydro,New dam,ICONTEC1652905164.11,30/1/23,15/6/20,31/12/20," 854,309 ",2,5,21Jun2023
PA,5433,IN,LGAI,Wind,Wind,Applus1645786426.71,26/1/23,1/1/13,31/12/20," 125,282 ",2,1,21Jun2023
PA,5433,IN,LGAI,Wind,Wind,Applus1645786426.71,26/1/23,4/10/12,31/12/12," 2,766 ",1,1,21Jun2023
PA,5010,IN,LGAI,Wind,Wind,Applus1649271961.09,26/1/23,1/1/13,31/12/20," 17,664 ",2,1,21Jun2023
PA,5010,IN,LGAI,Wind,Wind,Applus1649271961.09,26/1/23,16/8/11,31/12/12," 2,260 ",1,1,21Jun2023
PA,7731,MM,CCSC,Hydro,New dam,CCSC_DOE1657719853.53,26/1/23,4/2/20,31/12/20," 416,660 ",2,4,21Jun2023
PA,10365,PK,CTI,Solar,Solar PV,CTI1646193359.56,26/1/23,22/2/19,21/2/20," 96,602 ",2,2,21Jun2023
PA,968,BR,Earthood,Hydro,Run of river,ESPL1619071381.62,26/1/23,1/1/19,31/12/20," 164,186 ",2,11,21Jun2023
PA,10091,BR,RINA,Wind,Wind,RINA1645637819.34,26/1/23,25/2/15,31/12/20," 562,649 ",2,1,21Jun2023
PoA,6573,BR,LGAI,Landfill gas,Landfill power,poaiss154708671~BR,25/1/23,3/3/20,31/12/20," 294,754 ",2,10,21Jun2023
PA,7110,BR,Earthood,Landfill gas,Landfill power,ESPL1616499690.86,23/1/23,4/9/19,2/3/20," 36,120 ",2,3,21Jun2023
PoA,5341,KE,TUV NORD,EE households,Stoves,poaiss944651905~KE,20/1/23,1/4/20,31/12/20," 96,410 ",2,7,21Jun2023
PA,2819,IN,LGAI,Wind,Wind,Applus1642424659.75,20/1/23,1/5/18,31/5/20," 197,880 ",2,9,21Jun2023
PA,6338,CN,CCSC,Wind,Wind,CCSC_DOE1652416802.63,20/1/23,27/9/19,31/12/19," 32,737 ",2,4,21Jun2023
PA,8880,CN,LGAI,Hydro,Run of river,Applus1646852506.7,19/1/23,1/3/14,31/12/20," 284,221 ",2,1,21Jun2023
PA,4709,IN,LGAI,Wind,Wind,Applus1649272300.33,19/1/23,1/3/14,31/12/20," 21,524 ",2,2,21Jun2023
PA,8723,CN,CCCI,Wind,Wind,CCCI_DOE1562081806.02,19/1/23,31/12/13,31/12/17," 415,024 ",2,1,21Jun2023
PA,8691,CN,CTI,Wind,Wind,CTI1653892849.67,19/1/23,31/12/13,30/12/20," 401,131 ",2,1,21Jun2023
PA,3991,CN,CTI,Hydro,Run of river,CTI1657177489.05,19/1/23,25/7/16,13/1/18," 76,017 ",2,4,21Jun2023
